Aar,NACE2007,SN2007,alder,ansatte
2018,77-82,Forretningsmessig tjenesteyting,15-74 år,68
2019,77-82,Forretningsmessig tjenesteyting,15-74 år,67
2020,77-82,Forretningsmessig tjenesteyting,15-74 år,64
2008,84,"Off.adm., forsvar, sosialforsikring",15-74 år,83
2009,84,"Off.adm., forsvar, sosialforsikring",15-74 år,94
2010,84,"Off.adm., forsvar, sosialforsikring",15-74 år,95
2011,84,"Off.adm., forsvar, sosialforsikring",15-74 år,105
2012,84,"Off.adm., forsvar, sosialforsikring",15-74 år,95
2013,84,"Off.adm., forsvar, sosialforsikring",15-74 år,93
2014,84,"Off.adm., forsvar, sosialforsikring",15-74 år,89
2015,84,"Off.adm., forsvar, sosialforsikring",15-74 år,89
2016,84,"Off.adm., forsvar, sosialforsikring",15-74 år,96
2017,84,"Off.adm., forsvar, sosialforsikring",15-74 år,94
2018,84,"Off.adm., forsvar, sosialforsikring",15-74 år,88
2019,84,"Off.adm., forsvar, sosialforsikring",15-74 år,86
2020,84,"Off.adm., forsvar, sosialforsikring",15-74 år,97
2008,85,Undervisning,15-74 år,209
2009,85,Undervisning,15-74 år,224
2010,85,Undervisning,15-74 år,232
2011,85,Undervisning,15-74 år,231
2012,85,Undervisning,15-74 år,222
2013,85,Undervisning,15-74 år,214
2014,85,Undervisning,15-74 år,225
2015,85,Undervisning,15-74 år,216
2016,85,Undervisning,15-74 år,221
2017,85,Undervisning,15-74 år,201
2018,85,Undervisning,15-74 år,209
2019,85,Undervisning,15-74 år,208
2020,85,Undervisning,15-74 år,215
2008,86-88,Helse- og sosialtjenester,15-74 år,522
2009,86-88,Helse- og sosialtjenester,15-74 år,544
2010,86-88,Helse- og sosialtjenester,15-74 år,546
2011,86-88,Helse- og sosialtjenester,15-74 år,518
2012,86-88,Helse- og sosialtjenester,15-74 år,474
2013,86-88,Helse- og sosialtjenester,15-74 år,469
2014,86-88,Helse- og sosialtjenester,15-74 år,510
2015,86-88,Helse- og sosialtjenester,15-74 år,470
2016,86-88,Helse- og sosialtjenester,15-74 år,470
2017,86-88,Helse- og sosialtjenester,15-74 år,480
2018,86-88,Helse- og sosialtjenester,15-74 år,452
2019,86-88,Helse- og sosialtjenester,15-74 år,466
2020,86-88,Helse- og sosialtjenester,15-74 år,473
2008,90-99,Personlig tjenesteyting,15-74 år,46
2009,90-99,Personlig tjenesteyting,15-74 år,75
2010,90-99,Personlig tjenesteyting,15-74 år,52
2011,90-99,Personlig tjenesteyting,15-74 år,56
2012,90-99,Personlig tjenesteyting,15-74 år,65
2013,90-99,Personlig tjenesteyting,15-74 år,69
2014,90-99,Personlig tjenesteyting,15-74 år,37
2015,90-99,Personlig tjenesteyting,15-74 år,43
2016,90-99,Personlig tjenesteyting,15-74 år,46
2017,90-99,Personlig tjenesteyting,15-74 år,46
2018,90-99,Personlig tjenesteyting,15-74 år,55
2019,90-99,Personlig tjenesteyting,15-74 år,55
2020,90-99,Personlig tjenesteyting,15-74 år,53
2008,00,Uoppgitt,15-74 år,10
2009,00,Uoppgitt,15-74 år,9
2010,00,Uoppgitt,15-74 år,18
2011,00,Uoppgitt,15-74 år,12
2012,00,Uoppgitt,15-74 år,11
2013,00,Uoppgitt,15-74 år,11
2014,00,Uoppgitt,15-74 år,10
2015,00,Uoppgitt,15-74 år,28
2016,00,Uoppgitt,15-74 år,21
2017,00,Uoppgitt,15-74 år,23
2018,00,Uoppgitt,15-74 år,16
2019,00,Uoppgitt,15-74 år,15
2020,00,Uoppgitt,15-74 år,NA
2008,00-99,Alle næringer,15-74 år,297
2009,00-99,Alle næringer,15-74 år,296
2010,00-99,Alle næringer,15-74 år,291
2011,00-99,Alle næringer,15-74 år,293
2012,00-99,Alle næringer,15-74 år,317
2013,00-99,Alle næringer,15-74 år,327
2014,00-99,Alle næringer,15-74 år,327
2015,00-99,Alle næringer,15-74 år,301
2016,00-99,Alle næringer,15-74 år,306
2017,00-99,Alle næringer,15-74 år,311
2018,00-99,Alle næringer,15-74 år,291
2019,00-99,Alle næringer,15-74 år,327
2020,00-99,Alle næringer,15-74 år,323
2008,01-03,"Jordbruk, skogbruk og fiske",15-74 år,51
2009,01-03,"Jordbruk, skogbruk og fiske",15-74 år,59
2010,01-03,"Jordbruk, skogbruk og fiske",15-74 år,54
2011,01-03,"Jordbruk, skogbruk og fiske",15-74 år,67
2012,01-03,"Jordbruk, skogbruk og fiske",15-74 år,52
2013,01-03,"Jordbruk, skogbruk og fiske",15-74 år,57
2014,01-03,"Jordbruk, skogbruk og fiske",15-74 år,49
2015,01-03,"Jordbruk, skogbruk og fiske",15-74 år,56
2016,01-03,"Jordbruk, skogbruk og fiske",15-74 år,61
2017,01-03,"Jordbruk, skogbruk og fiske",15-74 år,74
2018,01-03,"Jordbruk, skogbruk og fiske",15-74 år,65
2019,01-03,"Jordbruk, skogbruk og fiske",15-74 år,67
2020,01-03,"Jordbruk, skogbruk og fiske",15-74 år,67
2008,05-09,Bergverksdrift og utvinning,15-74 år,0
2009,05-09,Bergverksdrift og utvinning,15-74 år,0
2010,05-09,Bergverksdrift og utvinning,15-74 år,0
2011,05-09,Bergverksdrift og utvinning,15-74 år,0
2012,05-09,Bergverksdrift og utvinning,15-74 år,0
2013,05-09,Bergverksdrift og utvinning,15-74 år,0
2014,05-09,Bergverksdrift og utvinning,15-74 år,0
2015,05-09,Bergverksdrift og utvinning,15-74 år,0
2016,05-09,Bergverksdrift og utvinning,15-74 år,0
2017,05-09,Bergverksdrift og utvinning,15-74 år,0
2018,05-09,Bergverksdrift og utvinning,15-74 år,0
2019,05-09,Bergverksdrift og utvinning,15-74 år,0
2020,05-09,Bergverksdrift og utvinning,15-74 år,0
2008,10-33,Industri,15-74 år,41
2009,10-33,Industri,15-74 år,40
2010,10-33,Industri,15-74 år,31
2011,10-33,Industri,15-74 år,31
2012,10-33,Industri,15-74 år,51
2013,10-33,Industri,15-74 år,54
2014,10-33,Industri,15-74 år,54
2015,10-33,Industri,15-74 år,36
2016,10-33,Industri,15-74 år,43
2017,10-33,Industri,15-74 år,37
2018,10-33,Industri,15-74 år,43
2019,10-33,Industri,15-74 år,52
2020,10-33,Industri,15-74 år,63
2008,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2009,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2010,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2011,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2012,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2013,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2014,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2015,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2016,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2017,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2018,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2019,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2020,35-39,"Elektrisitet, vann og renovasjon",15-74 år,0
2008,41-43,Bygge- og anleggsvirksomhet,15-74 år,11
2009,41-43,Bygge- og anleggsvirksomhet,15-74 år,8
2010,41-43,Bygge- og anleggsvirksomhet,15-74 år,7
2011,41-43,Bygge- og anleggsvirksomhet,15-74 år,8
2012,41-43,Bygge- og anleggsvirksomhet,15-74 år,8
2013,41-43,Bygge- og anleggsvirksomhet,15-74 år,11
2014,41-43,Bygge- og anleggsvirksomhet,15-74 år,11
2015,41-43,Bygge- og anleggsvirksomhet,15-74 år,16
2016,41-43,Bygge- og anleggsvirksomhet,15-74 år,13
2017,41-43,Bygge- og anleggsvirksomhet,15-74 år,13
2018,41-43,Bygge- og anleggsvirksomhet,15-74 år,12
2019,41-43,Bygge- og anleggsvirksomhet,15-74 år,9
2020,41-43,Bygge- og anleggsvirksomhet,15-74 år,9
2008,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,12
2009,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,13
2010,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,13
2011,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,15
2012,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,19
2013,45-47,"Varehandel, reparasjon av motorvogner",15-74 år,13
