Knr,Kjonn,Alder,ContentsCode,Aar,Alle naeringer,"Jordbruk, skogbruk og fiske",Bergverksdrift og utvinning,Industri,"Elektrisitet, vann og renevasjon",Bygge- og anleggsvirksomhet,"Varehandel, reparasjon av motorvogner",Transport og lagring,Overnattings- og serveringsvriksomhet,Informasjon og kommunikasjon,Finansiering og forsikring ,"Teknisk tjenesteyting, eiendosmdrift",Forretningsmessig tjenesteyting,"Off.adm., forsvar, sosialforsikring",Undervisning,Helse- og sosialtjenester,Personlig tjenesteyting,Uoppgitt
1146,0,15-74,Sysselsatte,2010,5219,337,440,513,72,522,747,254,193,75,34,158,139,169,422,1001,116,27
1146,0,15-74,Sysselsatte,2011,5574,314,460,550,79,719,760,269,196,80,31,157,184,193,437,1010,111,24
1146,0,15-74,Sysselsatte,2012,5470,292,495,553,73,550,732,270,194,92,28,181,200,192,443,1023,128,24
1146,0,15-74,Sysselsatte,2013,5482,274,505,558,72,541,738,278,189,96,27,197,228,194,406,1032,124,23
1146,0,15-74,Sysselsatte,2014,5591,261,521,569,73,552,760,293,187,79,32,210,220,195,411,1082,119,27
1146,0,15-74,Sysselsatte,2015,5412,280,498,530,68,564,713,297,145,77,24,202,207,174,383,1081,116,53
1146,0,15-74,Sysselsatte,2016,5409,286,468,533,67,550,707,290,161,81,21,198,206,191,416,1060,123,51
1146,0,15-74,Sysselsatte,2017,5437,269,457,522,68,571,690,295,153,83,26,200,240,195,402,1086,133,47
1146,0,15-74,Sysselsatte,2018,5444,255,501,533,65,594,682,283,131,77,26,172,224,203,413,1112,129,44
1146,0,15-74,Sysselsatte,2019,5550,256,528,539,74,587,680,293,135,90,23,191,228,210,411,1119,149,37
1146,0,15-74,Sysselsatte,2020,5503,273,530,547,66,570,653,287,119,98,28,172,239,244,414,1107,127,29
1146,0,55-66,Sysselsatte,2008,843,82,49,64,17,58,100,62,19,12,15,26,22,43,110,145,16,3
1146,0,55-66,Sysselsatte,2009,844,78,43,69,17,63,96,56,17,11,14,28,24,41,112,156,16,3
1146,0,55-66,Sysselsatte,2010,831,74,47,64,16,64,92,48,17,14,12,27,16,43,111,161,16,9
1146,0,55-66,Sysselsatte,2011,861,72,54,73,17,62,93,53,21,14,11,29,26,35,113,163,18,7
1146,0,55-66,Sysselsatte,2012,884,69,59,73,17,66,95,60,20,14,10,30,30,35,113,170,18,5
1146,0,55-66,Sysselsatte,2013,912,57,68,72,9,74,105,64,14,15,10,36,42,39,105,177,16,9
1146,0,55-66,Sysselsatte,2014,917,48,74,72,8,69,112,66,14,16,12,38,44,35,95,185,20,9
1146,0,55-66,Sysselsatte,2015,922,53,76,72,10,80,104,71,11,14,8,30,36,34,88,192,21,22
1146,0,55-66,Sysselsatte,2016,920,55,85,71,14,76,104,67,15,11,3,29,34,33,95,186,24,18
1146,0,55-66,Sysselsatte,2017,949,49,83,68,15,96,110,73,16,14,4,23,38,28,89,201,25,17
1146,0,55-66,Sysselsatte,2018,945,44,91,69,14,90,113,67,17,16,7,23,40,32,90,187,26,19
1146,0,55-66,Sysselsatte,2019,983,43,93,78,17,96,115,72,18,18,7,27,41,39,80,189,35,15
1146,0,55-66,Sysselsatte,2020,1003,49,97,99,15,93,118,75,15,18,7,24,38,42,85,187,30,11
1146,0,67-74,Sysselsatte,2008,108,43,0,11,0,7,7,5,0,0,0,5,3,3,3,18,3,0
1146,0,67-74,Sysselsatte,2009,132,49,0,7,0,5,13,11,3,0,0,9,3,3,5,18,3,3
1146,0,67-74,Sysselsatte,2010,125,38,0,7,0,7,17,9,3,0,0,4,4,0,8,19,6,3
1146,0,67-74,Sysselsatte,2011,127,37,0,7,0,8,12,8,3,0,0,3,3,6,10,23,7,0
1146,0,67-74,Sysselsatte,2012,163,47,0,14,0,16,15,10,3,0,0,9,0,6,8,25,7,3
1146,0,67-74,Sysselsatte,2013,163,45,0,12,3,13,15,9,3,3,0,5,3,8,9,25,4,6
1146,0,67-74,Sysselsatte,2014,170,41,0,11,0,10,18,15,6,0,3,9,3,7,12,25,7,3
1146,0,67-74,Sysselsatte,2015,151,35,0,9,0,9,9,12,3,0,0,9,4,8,11,27,4,11
1146,0,67-74,Sysselsatte,2016,153,42,0,5,0,9,12,11,3,3,3,9,4,7,12,19,6,8
1146,0,67-74,Sysselsatte,2017,160,39,0,5,0,12,10,12,3,3,3,10,3,9,12,22,6,11
1146,0,67-74,Sysselsatte,2018,150,33,0,7,0,17,5,15,3,0,3,9,3,3,8,22,10,12
1146,0,67-74,Sysselsatte,2019,157,36,3,6,0,19,8,16,3,3,0,12,3,0,7,20,11,10
1146,0,67-74,Sysselsatte,2020,131,36,5,3,0,14,11,15,0,3,0,11,0,3,6,16,3,5
1149,0,15-74,Sysselsatte,2008,20182,518,1113,3694,202,1599,2830,1474,603,271,174,657,781,612,1336,3660,557,101
1149,0,15-74,Sysselsatte,2009,19767,514,1139,3221,202,1588,2750,1493,580,267,167,691,725,615,1379,3786,555,95
1149,0,15-74,Sysselsatte,2010,19754,499,1252,2882,214,1630,2818,1504,613,276,168,753,743,622,1390,3763,532,95
1149,0,15-74,Sysselsatte,2011,20028,441,1310,2826,228,1768,2856,1439,586,289,160,771,837,635,1369,3890,532,91
1149,0,15-74,Sysselsatte,2012,20304,428,1402,2835,221,1785,2809,1482,597,312,154,769,946,674,1379,3893,523,95
1149,0,15-74,Sysselsatte,2013,20572,399,1484,2811,233,1892,2808,1443,668,298,147,808,900,677,1408,3952,536,108
1149,0,15-74,Sysselsatte,2014,20714,391,1522,2812,225,1918,2784,1447,675,292,142,812,857,717,1465,4028,528,99
1149,0,15-74,Sysselsatte,2015,19862,385,1370,2652,217,1828,2615,1405,547,276,136,822,714,666,1437,4051,571,170
1149,0,15-74,Sysselsatte,2016,19754,406,1219,2619,219,1818,2606,1330,525,273,133,824,751,730,1449,4087,595,170
1149,0,15-74,Sysselsatte,2017,20047,392,1235,2683,212,1885,2621,1352,518,284,124,823,839,708,1463,4152,600,156
1149,0,15-74,Sysselsatte,2018,20074,396,1352,2689,205,1839,2510,1375,571,303,106,795,849,658,1497,4232,558,139
1149,0,15-74,Sysselsatte,2019,20247,407,1448,2724,224,1835,2441,1365,549,327,107,818,843,687,1509,4263,570,130
